OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID
ORD0000586,06-08-2024,CUST004252,Sunita Reddy,P00038,External HDD 2TB,Books,FitLife,2,181.28,0,18.13,13.41,394.1,Net Banking,Returned,Indianapolis,IN,United States,SELL01433
ORD0000597,08-11-2024,CUST035227,Kabir Kumar,P00007,Mechanical Keyboard,Clothing,KiddoFun,3,143.79,0,34.51,7.39,473.27,Credit Card,Returned,San Diego,CA,United States,SELL01487
ORD0000601,12-05-2023,CUST006657,Vivaan Sharma,P00008,4K Monitor,Home & Kitchen,BrightLux,4,467.6,0.25,70.14,0.76,1473.7,Credit Card,Returned,San Jose,CA,United States,SELL01980
ORD0000637,07-02-2024,CUST003021,Anjali Sharma,P00029,T-Shirt,Toys & Games,UrbanStyle,2,421.94,0,101.27,1.04,946.19,UPI,Returned,San Jose,CA,India,SELL00092
ORD0000682,14-12-2023,CUST021727,Vivaan Gupta,P00025,Running Shoes,Sports & Outdoors,CoreTech,2,415.43,0.15,84.75,7.29,798.27,UPI,Returned,New York,NY,India,SELL00959
ORD0000717,27-09-2023,CUST004801,Rohit Reddy,P00034,Desk Organizer,Sports & Outdoors,HomeEase,2,487.44,0,77.99,5.31,1058.18,Net Banking,Returned,Los Angeles,CA,United States,SELL00601
ORD0000725,10-06-2023,CUST036068,Aarav Kumar,P00032,Board Game,Home & Kitchen,KiddoFun,4,446.33,0,142.83,13.92,1942.07,UPI,Returned,Denver,CO,United States,SELL00323
ORD0000730,18-12-2021,CUST039566,Neha Mehta,P00016,Air Fryer,Electronics,UrbanStyle,5,144.61,0,130.15,5.13,858.33,Amazon Pay,Returned,Jacksonville,FL,United Kingdom,SELL01170
ORD0000753,12-09-2024,CUST033448,Mohit Verma,P00012,Noise Cancelling Headphones,Home & Kitchen,CoreTech,2,116.36,0.25,8.73,1.61,184.88,Amazon Pay,Returned,Columbus,OH,India,SELL00087
ORD0000775,22-03-2024,CUST002640,Vivaan Sharma,P00049,Children's Book,Sports & Outdoors,BrightLux,1,532.46,0.15,36.21,2.8,491.6,UPI,Returned,Chicago,IL,India,SELL00111
ORD0000790,29-07-2024,CUST020608,Sneha Joshi,P00038,External HDD 2TB,Electronics,ReadMore,4,475.21,0.15,290.83,1.88,1908.42,Debit Card,Returned,San Diego,CA,India,SELL01619
ORD0000818,28-05-2023,CUST038541,Aditya Gupta,P00031,Kids Toy Car,Home & Kitchen,ReadMore,5,46.05,0,11.51,8.26,250.02,Amazon Pay,Returned,New York,NY,United States,SELL01955
ORD0000835,03-12-2023,CUST033478,Simran Joshi,P00022,Water Bottle,Home & Kitchen,ReadMore,1,290.81,0.1,20.94,9.52,292.19,Credit Card,Returned,San Diego,CA,United States,SELL01100
ORD0000842,28-04-2024,CUST004513,Vikas Reddy,P00032,Board Game,Books,ReadMore,1,553.07,0.1,89.6,3.26,590.62,Cash on Delivery,Returned,Dallas,TX,United States,SELL01096
ORD0000959,07-11-2021,CUST022426,Aditya Reddy,P00021,Backpack,Books,FitLife,4,31.14,0,0,10.01,134.57,Credit Card,Returned,San Francisco,CA,United States,SELL01086
ORD0000978,03-10-2023,CUST009786,Simran Reddy,P00018,Vacuum Cleaner,Home & Kitchen,HomeEase,1,332.74,0,39.93,7.2,379.87,Debit Card,Returned,Jacksonville,FL,United States,SELL01754
ORD0000999,19-08-2023,CUST039196,Vivaan Sharma,P00015,Instant Pot,Home & Kitchen,KiddoFun,4,44.82,0.05,13.63,0.53,184.48,UPI,Returned,Seattle,WA,United States,SELL01068
ORD0001000,07-07-2022,CUST049148,Aditya Sharma,P00034,Desk Organizer,Electronics,BrightLux,5,137.56,0,34.39,9.04,731.23,Net Banking,Returned,Denver,CO,United States,SELL00513
ORD0001005,15-03-2020,CUST003244,Sahil Gupta,P00010,Smartwatch,Books,NexPro,2,55.14,0,5.51,6.13,121.92,Amazon Pay,Returned,San Francisco,CA,United States,SELL01881
ORD0001048,05-05-2020,CUST018794,Vikas Reddy,P00012,Noise Cancelling Headphones,Books,Apex,1,211.84,0,25.42,11.58,248.84,Credit Card,Returned,Denver,CO,Australia,SELL00214
ORD0001061,25-12-2020,CUST004013,Vivaan Sharma,P00027,Winter Jacket,Books,KiddoFun,2,305.76,0.1,99.07,13.04,662.48,Credit Card,Returned,Denver,CO,United States,SELL00885
ORD0001068,02-04-2020,CUST016236,Mohit Mehta,P00015,Instant Pot,Sports & Outdoors,HomeEase,4,130.38,0.15,53.2,8.4,504.89,Net Banking,Returned,Phoenix,AZ,Australia,SELL01003
ORD0001167,20-04-2020,CUST006052,Ritika Kapoor,P00029,T-Shirt,Toys & Games,FitLife,2,68.73,0,11,9.13,157.59,Credit Card,Returned,Charlotte,NC,United States,SELL01279
ORD0001198,22-04-2022,CUST041116,Aman Mehta,P00013,Action Camera,Electronics,Apex,1,570.21,0.3,0,14.95,414.1,Amazon Pay,Returned,Phoenix,AZ,India,SELL01373
ORD0001244,15-06-2021,CUST014768,Priya Singh,P00028,Jeans,Electronics,CoreTech,1,10.79,0.05,0.51,2.6,13.36,Net Banking,Returned,Seattle,WA,United States,SELL01194
ORD0001253,18-05-2020,CUST019211,Anjali Mehta,P00011,Fitness Band,Home & Kitchen,HomeEase,4,331.34,0,238.56,8.02,1571.94,Cash on Delivery,Returned,Seattle,WA,United Kingdom,SELL00802
ORD0001266,06-04-2023,CUST049362,Aditya Joshi,P00008,4K Monitor,Sports & Outdoors,ReadMore,2,350.13,0.05,79.83,4.71,749.79,Amazon Pay,Returned,Seattle,WA,United States,SELL00757
ORD0001284,10-01-2021,CUST015332,Sahil Patel,P00016,Air Fryer,Toys & Games,UrbanStyle,3,286.46,0.15,0,6.84,737.31,Amazon Pay,Returned,Denver,CO,United States,SELL01684
ORD0001352,05-06-2020,CUST037354,Aarav Kumar,P00013,Action Camera,Sports & Outdoors,BrightLux,4,305.35,0,61.07,2.43,1284.9,Net Banking,Returned,Chicago,IL,Canada,SELL00659
ORD0001371,25-03-2022,CUST023507,Karan Singh,P00008,4K Monitor,Sports & Outdoors,ReadMore,4,75.39,0.25,40.71,12.95,279.83,UPI,Returned,Chicago,IL,India,SELL00377
ORD0001379,08-07-2023,CUST032241,Vikas Verma,P00022,Water Bottle,Clothing,KiddoFun,1,426.52,0.05,72.93,9.48,487.6,Credit Card,Returned,San Diego,CA,United States,SELL01823
ORD0001399,03-03-2023,CUST028325,Arjun Gupta,P00050,Novel Bestseller,Clothing,BrightLux,3,94.34,0,50.94,12.72,346.68,Debit Card,Returned,Fort Worth,TX,United States,SELL00469
ORD0001433,18-11-2022,CUST015780,Neha Singh,P00018,Vacuum Cleaner,Home & Kitchen,UrbanStyle,5,356.2,0,142.48,0.11,1923.59,UPI,Returned,Jacksonville,FL,United States,SELL01662
ORD0001444,01-10-2023,CUST041733,Aditya Verma,P00014,Drone Mini,Electronics,FitLife,4,138.29,0.05,26.28,11.48,563.26,UPI,Returned,Los Angeles,CA,United States,SELL00349
ORD0001486,10-12-2021,CUST005802,Pooja Verma,P00013,Action Camera,Sports & Outdoors,Apex,1,22.94,0.15,2.34,7.95,29.79,Credit Card,Returned,Denver,CO,United States,SELL01331
ORD0001507,22-12-2022,CUST047862,Kabir Singh,P00015,Instant Pot,Toys & Games,KiddoFun,4,501.61,0.2,80.26,10.41,1695.82,Credit Card,Returned,New York,NY,United States,SELL01474
ORD0001537,12-07-2020,CUST028081,Rohit Mehta,P00010,Smartwatch,Toys & Games,Zenith,4,296.06,0.05,90,3.1,1218.13,UPI,Returned,Chicago,IL,United States,SELL00163
ORD0001557,24-02-2020,CUST006927,Vivaan Gupta,P00037,Router,Home & Kitchen,UrbanStyle,3,260.53,0.05,59.4,11.13,813.04,Credit Card,Returned,San Jose,CA,United States,SELL01611
ORD0001603,26-05-2020,CUST044153,Aditya Kumar,P00042,Projector Mini,Books,Apex,2,188.48,0.3,13.19,12.87,289.93,UPI,Returned,Washington,DC,United States,SELL01982
ORD0001650,05-07-2021,CUST001125,Sahil Kapoor,P00020,Office Chair,Sports & Outdoors,ReadMore,4,154.5,0,111.24,11.46,740.7,Cash on Delivery,Returned,Chicago,IL,United States,SELL01816
ORD0001655,16-11-2024,CUST021527,Sahil Patel,P00012,Noise Cancelling Headphones,Electronics,CoreTech,5,28.16,0,7.04,13.92,161.76,Credit Card,Returned,Chicago,IL,United States,SELL00530
ORD0001680,02-11-2023,CUST036515,Mohit Patel,P00004,USB-C Charger,Books,FitLife,4,440.33,0,140.91,11.92,1914.15,Debit Card,Returned,Los Angeles,CA,India,SELL01930
ORD0001725,04-06-2023,CUST043379,Aditya Kapoor,P00021,Backpack,Books,Zenith,5,411.44,0,246.86,1.28,2305.34,Net Banking,Returned,Fort Worth,TX,India,SELL00179
ORD0001729,14-09-2021,CUST036434,Ritika Sharma,P00007,Mechanical Keyboard,Electronics,UrbanStyle,1,229.76,0,11.49,5.51,246.76,Amazon Pay,Returned,Phoenix,AZ,United Kingdom,SELL01030
ORD0001740,30-01-2024,CUST036727,Simran Joshi,P00016,Air Fryer,Electronics,ReadMore,2,384.69,0.3,64.63,3.18,606.38,Debit Card,Returned,Houston,TX,Canada,SELL00866
ORD0001792,17-02-2024,CUST025508,Sahil Joshi,P00009,Portable SSD 1TB,Toys & Games,HomeEase,4,76.35,0.05,34.82,7.14,332.09,Net Banking,Returned,Chicago,IL,United Kingdom,SELL01884
ORD0001825,27-12-2021,CUST007860,Mohit Patel,P00025,Running Shoes,Home & Kitchen,KiddoFun,4,69.41,0.25,0,10.07,218.3,Credit Card,Returned,Austin,TX,United States,SELL01337
ORD0001832,21-09-2022,CUST011235,Vihaan Patel,P00001,Wireless Earbuds,Toys & Games,BrightLux,2,198.77,0,0,1.68,399.22,Credit Card,Returned,Washington,DC,United States,SELL00768
ORD0001841,21-09-2022,CUST008522,Priya Singh,P00041,Webcam Full HD,Clothing,Apex,3,346.24,0,186.97,14.35,1240.04,Debit Card,Returned,San Francisco,CA,United States,SELL00553
ORD0001860,21-11-2023,CUST049311,Karan Singh,P00021,Backpack,Electronics,Zenith,2,512.51,0.15,104.55,6.9,982.72,UPI,Returned,Indianapolis,IN,India,SELL00810
ORD0001914,05-12-2021,CUST007439,Sunita Reddy,P00017,Electric Kettle,Electronics,HomeEase,1,431.7,0.05,20.51,9.79,440.42,UPI,Returned,Seattle,WA,United States,SELL00758
ORD0001979,19-02-2022,CUST034891,Pooja Patel,P00044,Power Bank 20000mAh,Books,UrbanStyle,5,97.99,0.1,22.05,9.33,472.34,Amazon Pay,Returned,Denver,CO,United States,SELL00511
ORD0002061,07-01-2020,CUST037351,Mohit Joshi,P00011,Fitness Band,Clothing,KiddoFun,4,358.11,0,71.62,13.7,1517.76,Cash on Delivery,Returned,San Diego,CA,United States,SELL01313
ORD0002087,10-02-2023,CUST042921,Sneha Singh,P00036,Smart Light Bulb,Books,ReadMore,1,113.35,0,20.4,7.92,141.67,Credit Card,Returned,Columbus,OH,United States,SELL01120
ORD0002115,04-07-2022,CUST022848,Priya Singh,P00030,Dress Shirt,Clothing,ReadMore,3,178.41,0.15,54.59,2.17,511.71,Debit Card,Returned,Austin,TX,United States,SELL00981
ORD0002125,04-06-2022,CUST005234,Pooja Kumar,P00009,Portable SSD 1TB,Clothing,CoreTech,4,310.09,0.1,200.94,7.38,1324.64,Credit Card,Returned,Charlotte,NC,United Kingdom,SELL00159
ORD0002150,04-08-2022,CUST019375,Sunita Patel,P00025,Running Shoes,Clothing,Apex,3,464.77,0.05,105.97,11.36,1441.92,Debit Card,Returned,Chicago,IL,Australia,SELL00353
ORD0002155,24-12-2023,CUST013980,Vivaan Verma,P00034,Desk Organizer,Clothing,BrightLux,1,410.39,0.25,24.62,3.05,335.46,Amazon Pay,Returned,Charlotte,NC,United States,SELL00646
ORD0002282,26-08-2023,CUST045751,Neha Kapoor,P00037,Router,Clothing,Apex,4,296.68,0.15,50.44,0.24,1059.39,Amazon Pay,Returned,Jacksonville,FL,Australia,SELL00890
ORD0002313,09-01-2020,CUST033838,Sahil Sharma,P00047,Memory Card 128GB,Electronics,BrightLux,2,314.59,0.05,29.89,1.97,629.58,Amazon Pay,Returned,Washington,DC,United States,SELL00787
ORD0002322,11-07-2023,CUST044125,Vivaan Singh,P00036,Smart Light Bulb,Books,UrbanStyle,1,549.44,0.25,20.6,14.74,447.42,Debit Card,Returned,Austin,TX,United States,SELL00723
ORD0002346,28-08-2022,CUST046854,Sahil Reddy,P00011,Fitness Band,Home & Kitchen,CoreTech,5,69.96,0,17.49,9.94,377.23,UPI,Returned,Los Angeles,CA,India,SELL01685
ORD0002366,14-10-2020,CUST014881,Anjali Patel,P00044,Power Bank 20000mAh,Electronics,CoreTech,2,428.05,0,68.49,6.43,931.02,Net Banking,Returned,Houston,TX,India,SELL00773
ORD0002368,05-06-2024,CUST024318,Vihaan Gupta,P00010,Smartwatch,Toys & Games,NexPro,5,557.47,0,0,4.42,2791.77,Credit Card,Returned,San Diego,CA,United States,SELL01895
ORD0002380,24-01-2022,CUST047341,Pooja Patel,P00001,Wireless Earbuds,Clothing,CoreTech,3,250.25,0.15,31.91,13.12,683.17,Net Banking,Returned,Phoenix,AZ,United States,SELL00583
ORD0002383,02-04-2020,CUST009323,Simran Patel,P00017,Electric Kettle,Books,KiddoFun,4,262.1,0.05,49.8,1.98,1047.76,UPI,Returned,San Diego,CA,United States,SELL01407
ORD0002402,04-05-2024,CUST013292,Aman Reddy,P00036,Smart Light Bulb,Books,HomeEase,1,377.2,0,67.9,12.63,457.73,Credit Card,Returned,Denver,CO,United States,SELL00395
ORD0002441,09-06-2021,CUST012208,Sneha Mehta,P00023,Cookware Set,Clothing,KiddoFun,4,432.74,0,0,10.99,1741.95,Debit Card,Returned,Dallas,TX,United States,SELL01823
ORD0002463,06-03-2020,CUST037381,Ritika Singh,P00013,Action Camera,Toys & Games,KiddoFun,1,313.76,0,15.69,12.85,342.3,Credit Card,Returned,San Francisco,CA,United States,SELL01318
ORD0002485,16-10-2023,CUST042667,Karan Kumar,P00025,Running Shoes,Clothing,BrightLux,2,442.76,0.2,85.01,11.54,804.97,Debit Card,Returned,Columbus,OH,India,SELL00253
ORD0002574,06-11-2020,CUST047512,Aman Reddy,P00011,Fitness Band,Sports & Outdoors,Zenith,3,81.36,0.1,10.98,12.06,242.71,Credit Card,Returned,Jacksonville,FL,United States,SELL01440
ORD0002590,21-10-2022,CUST031810,Vihaan Verma,P00032,Board Game,Electronics,UrbanStyle,3,118.12,0.05,60.6,8.43,405.67,Net Banking,Returned,Columbus,OH,United States,SELL00498
ORD0002614,28-08-2022,CUST003573,Mohit Reddy,P00036,Smart Light Bulb,Sports & Outdoors,NexPro,1,416.97,0,33.36,8.08,458.41,Debit Card,Returned,San Jose,CA,United States,SELL00436
ORD0002646,05-02-2024,CUST026108,Vikas Sharma,P00044,Power Bank 20000mAh,Books,NexPro,1,441.42,0.15,18.76,6.2,400.17,Amazon Pay,Returned,Dallas,TX,United Kingdom,SELL01479
ORD0002671,23-03-2023,CUST008863,Arjun Kumar,P00035,Desk Plant,Toys & Games,NexPro,4,294.95,0.15,120.34,11.89,1135.06,Debit Card,Returned,Dallas,TX,United States,SELL01639
ORD0002708,21-08-2022,CUST038702,Neha Joshi,P00004,USB-C Charger,Clothing,FitLife,1,274.49,0.05,20.86,10.77,292.4,Credit Card,Returned,San Francisco,CA,United States,SELL01423
ORD0002732,06-10-2023,CUST043424,Vivaan Reddy,P00001,Wireless Earbuds,Sports & Outdoors,CoreTech,5,87.93,0,21.98,7.86,469.49,Credit Card,Returned,Seattle,WA,India,SELL00063
ORD0002755,09-06-2022,CUST008800,Aman Kumar,P00021,Backpack,Home & Kitchen,ReadMore,2,143.52,0.25,17.22,3.92,236.42,Net Banking,Returned,Los Angeles,CA,United States,SELL00492
ORD0002789,26-08-2024,CUST005421,Neha Kumar,P00038,External HDD 2TB,Books,NexPro,3,408.19,0.1,198.38,12.06,1312.55,Debit Card,Returned,Dallas,TX,United States,SELL01060
ORD0002840,05-04-2023,CUST012818,Sahil Mehta,P00022,Water Bottle,Electronics,HomeEase,3,37.44,0.15,7.64,0.35,103.46,Debit Card,Returned,Seattle,WA,United States,SELL01446
ORD0002845,30-10-2024,CUST024122,Sahil Mehta,P00003,Smartphone Case,Home & Kitchen,Zenith,4,117.57,0.2,18.81,4.82,399.85,Net Banking,Returned,San Diego,CA,United States,SELL00336
ORD0002856,14-07-2021,CUST039416,Sahil Gupta,P00042,Projector Mini,Toys & Games,ReadMore,5,144.97,0,36.24,8.79,769.88,UPI,Returned,San Diego,CA,United States,SELL00172
ORD0002858,23-07-2024,CUST024323,Simran Mehta,P00029,T-Shirt,Home & Kitchen,HomeEase,4,429.37,0,85.87,4.98,1808.33,Debit Card,Returned,Phoenix,AZ,India,SELL00772
ORD0002879,05-09-2021,CUST001505,Anjali Joshi,P00023,Cookware Set,Home & Kitchen,Apex,2,329.65,0,79.12,14.19,752.61,Amazon Pay,Returned,San Diego,CA,United States,SELL00334
ORD0002890,09-02-2024,CUST031803,Vivaan Gupta,P00036,Smart Light Bulb,Electronics,Apex,4,564.52,0,270.97,6.64,2535.69,Net Banking,Returned,Seattle,WA,India,SELL00777
ORD0002923,12-01-2023,CUST021409,Aarav Gupta,P00029,T-Shirt,Home & Kitchen,FitLife,2,493.31,0,177.59,12.94,1177.15,Amazon Pay,Returned,Washington,DC,Canada,SELL01909
ORD0002937,04-08-2024,CUST007791,Anjali Kumar,P00034,Desk Organizer,Electronics,Zenith,1,291.64,0.15,0,9.48,257.37,Credit Card,Returned,San Antonio,TX,India,SELL01821
ORD0003022,07-01-2023,CUST047576,Karan Mehta,P00024,Yoga Mat,Toys & Games,CoreTech,4,486.23,0.15,132.25,1.82,1787.25,Cash on Delivery,Returned,Columbus,OH,India,SELL00603
ORD0003040,10-09-2020,CUST015180,Priya Kapoor,P00040,Microphone,Clothing,UrbanStyle,4,481.66,0,0,9.6,1936.24,Debit Card,Returned,Seattle,WA,United States,SELL00717
ORD0003057,26-01-2024,CUST034739,Aman Mehta,P00036,Smart Light Bulb,Home & Kitchen,NexPro,1,370.6,0.05,28.17,8.33,388.57,UPI,Returned,Austin,TX,India,SELL00479
ORD0003073,07-07-2023,CUST024035,Neha Reddy,P00022,Water Bottle,Clothing,KiddoFun,3,42.71,0,6.41,11.6,146.14,Credit Card,Returned,Chicago,IL,United States,SELL01513
ORD0003075,26-06-2024,CUST019734,Neha Kumar,P00031,Kids Toy Car,Electronics,HomeEase,3,546.95,0,131.27,11.82,1783.94,Debit Card,Returned,Charlotte,NC,United States,SELL00691
ORD0003083,30-03-2022,CUST034493,Sahil Kumar,P00014,Drone Mini,Toys & Games,KiddoFun,3,181.23,0,43.5,0.48,587.67,Amazon Pay,Returned,San Diego,CA,Australia,SELL00234
ORD0003095,27-04-2021,CUST020986,Sahil Singh,P00032,Board Game,Electronics,NexPro,3,532.03,0.05,121.3,14.64,1652.23,UPI,Returned,Jacksonville,FL,United States,SELL00901
ORD0003105,24-05-2021,CUST045990,Anjali Reddy,P00016,Air Fryer,Books,ReadMore,1,13.06,0,1.04,0.26,14.36,Credit Card,Returned,Los Angeles,CA,United States,SELL00899
ORD0003136,03-11-2020,CUST035999,Anjali Mehta,P00005,Laptop Sleeve,Clothing,Zenith,2,321.27,0.05,30.52,9.69,650.62,UPI,Returned,Indianapolis,IN,United States,SELL00214
ORD0003158,16-09-2021,CUST025411,Kabir Verma,P00012,Noise Cancelling Headphones,Books,BrightLux,2,241.32,0,0,14.57,497.21,Debit Card,Returned,Seattle,WA,United Kingdom,SELL00013
ORD0003212,05-06-2023,CUST011783,Ritika Joshi,P00001,Wireless Earbuds,Books,UrbanStyle,4,410.59,0,82.12,14.9,1739.38,Credit Card,Returned,Denver,CO,United States,SELL01456
ORD0003224,11-02-2022,CUST011424,Vikas Mehta,P00006,Gaming Mouse,Home & Kitchen,Zenith,4,391.24,0.15,106.42,0.07,1436.71,Debit Card,Returned,San Antonio,TX,United States,SELL00636
ORD0003226,07-10-2023,CUST039300,Anjali Joshi,P00049,Children's Book,Home & Kitchen,FitLife,4,216.15,0.1,38.91,13.46,830.51,Debit Card,Returned,Houston,TX,United States,SELL00543
ORD0003280,15-08-2024,CUST033001,Aarav Kumar,P00021,Backpack,Home & Kitchen,UrbanStyle,5,108.81,0.2,21.76,2.27,459.27,Credit Card,Returned,Charlotte,NC,India,SELL00739
ORD0003296,16-04-2024,CUST024598,Arjun Mehta,P00042,Projector Mini,Toys & Games,BrightLux,5,506,0.3,0,4.34,1775.34,Credit Card,Returned,Dallas,TX,United States,SELL00920
ORD0003300,11-05-2021,CUST022384,Aman Mehta,P00042,Projector Mini,Books,BrightLux,4,579.43,0.1,104.3,8.12,2198.37,UPI,Returned,Denver,CO,United States,SELL00570
ORD0003383,21-04-2020,CUST000852,Aditya Sharma,P00025,Running Shoes,Books,CoreTech,2,24.24,0.1,5.24,4.03,52.9,UPI,Returned,San Antonio,TX,Canada,SELL01684
ORD0003406,19-05-2023,CUST043306,Vivaan Gupta,P00036,Smart Light Bulb,Home & Kitchen,HomeEase,4,568.11,0.25,136.35,11.05,1851.73,Cash on Delivery,Returned,Los Angeles,CA,United States,SELL00262
ORD0003419,01-02-2024,CUST013449,Pooja Joshi,P00013,Action Camera,Toys & Games,HomeEase,2,186.87,0,18.69,10.96,403.39,Credit Card,Returned,Austin,TX,United Kingdom,SELL00768
ORD0003515,10-12-2021,CUST013164,Neha Joshi,P00020,Office Chair,Electronics,Zenith,4,12.86,0.05,8.8,10.16,67.83,Debit Card,Returned,Los Angeles,CA,United States,SELL00860
ORD0003541,03-09-2021,CUST049248,Simran Singh,P00048,Wireless Charger,Books,FitLife,4,114.57,0.15,46.74,11.94,448.22,Debit Card,Returned,Columbus,OH,India,SELL01535
ORD0003570,18-10-2024,CUST025219,Vivaan Mehta,P00025,Running Shoes,Electronics,BrightLux,3,182.5,0.05,93.62,11.64,625.38,Credit Card,Returned,San Diego,CA,United States,SELL00909
ORD0003607,23-05-2024,CUST032563,Rohit Kumar,P00013,Action Camera,Electronics,HomeEase,2,167.13,0.1,54.15,4.74,359.72,Net Banking,Returned,Austin,TX,United States,SELL00528
ORD0003608,28-02-2023,CUST042018,Anjali Patel,P00020,Office Chair,Clothing,Apex,3,520.66,0.1,112.46,14.87,1533.11,Credit Card,Returned,San Antonio,TX,United Kingdom,SELL00723
ORD0003630,14-08-2024,CUST014760,Arjun Joshi,P00032,Board Game,Home & Kitchen,HomeEase,2,131.42,0,47.31,3.23,313.38,UPI,Returned,San Francisco,CA,India,SELL00184
ORD0003704,26-04-2024,CUST014989,Karan Singh,P00003,Smartphone Case,Electronics,FitLife,3,58.31,0,13.99,1.27,190.19,Debit Card,Returned,Fort Worth,TX,United States,SELL01351
ORD0003718,18-05-2021,CUST043607,Sahil Joshi,P00006,Gaming Mouse,Sports & Outdoors,HomeEase,5,160.41,0.05,137.15,3.18,902.28,Credit Card,Returned,Los Angeles,CA,United States,SELL00171
ORD0003728,31-12-2022,CUST004574,Neha Kumar,P00044,Power Bank 20000mAh,Electronics,KiddoFun,3,368.52,0,132.67,1.12,1239.35,Amazon Pay,Returned,Chicago,IL,India,SELL01829
ORD0003739,15-07-2023,CUST017204,Ritika Sharma,P00006,Gaming Mouse,Home & Kitchen,NexPro,5,226.53,0.05,129.12,11.21,1216.35,Credit Card,Returned,New York,NY,United States,SELL00808
